Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2021;EDF SA;France;Heures de formation;;E;Femme;16556.0;Heures;§5.1.4 bis
2021;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;;;;6.5;%;§5.1.1
2021;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Femme;6451.0;Nombre;§5.1.3
2021;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Femme;5811.0;Nombre;§5.1.3
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Femme;423.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Homme;2391.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Homme;6510.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Homme;4492.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Femme;425.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Heures de formation;;D;Femme;82419.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2021;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Homme;4.0;Nombre;§5.2.1
2021;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Femme;3.0;Nombre;§5.2.1
2021;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Femme;929.0;Nombre;§5.3.1
2021;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Homme;54.0;Nombre;§5.3.1
2020;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Femme;5281.0;Nombre;§5.1.3
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Femme;864.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Homme;6225.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Femme;2037.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Femme;1520.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Heures de formation;Maitrise;;;1265512.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;D;Homme;234089.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;D;Femme;64310.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;E;Homme;185068.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;G;Femme;84088.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;Sans plage;Homme;221982.0;Heures;§5.1.4 bis
2020;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;;;;6.76;%;§5.1.1
2020;EDF SA;France;Montant consacré à la formation continue - AUTRES;;;;38468.0;K€;§5.1.2
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Femme;372.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Femme;1046.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Homme;0.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Heures de formation;Cadres;;;736087.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;B;Homme;51336.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;F;Homme;253227.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;H;Femme;33426.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;Sans plage;Femme;229031.0;Heures;§5.1.4 bis
2020;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Femme;4.0;Nombre;§5.2.2
2020;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Homme;51.0;Nombre;§5.3.1
2020;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Femme;35.0;Nombre;§5.3.1
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Homme;814.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Femme;321.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Homme;1910.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Homme;3136.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Homme;6332.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;1963.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Femme;0.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Heures de formation;;A;Homme;17131.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;C;Femme;86795.0;Heures;§5.1.4 bis
2020;EDF SA;France;Montant consacré à la formation continue - INTERNE;;;;176569.0;K€;§5.1.2
2020;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Homme;13098.0;Nombre;§5.1.3
2020;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Homme;17046.0;Nombre;§5.1.3
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Homme;4026.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Heures de formation;;;Homme;1726306.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;;Femme;590589.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;C;Homme;231485.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;E;Femme;13656.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;G;Homme;411468.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2020;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Homme;7.0;Nombre;§5.2.1
2020;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Femme;4.0;Nombre;§5.2.1
2020;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Homme;3.0;Nombre;§5.2.2
2020;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Homme;1033.0;Nombre;§5.3.1
2020;EDF SA;France;Montant consacré à la formation continue - AGRÉÉ CONVENTION;;;;52287.0;K€;§5.1.2
2020;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Femme;5240.0;Nombre;§5.1.3
2020;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Homme;2437.0;Nombre;§5.1.3
2020;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Femme;1474.0;Nombre;§5.1.3
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Homme;5693.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2381.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1491.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Homme;1993.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Homme;2452.0;Nombre;§5.1.3 bis
2020;EDF SA;France;Heures de formation;Exécution;;;315297.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;A;Femme;6922.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;B;Femme;22274.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;F;Femme;50087.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;H;Homme;120519.0;Heures;§5.1.4 bis
2020;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Femme;893.0;Nombre;§5.3.1
2019;EDF SA;France;Montant consacré à la formation continue - AUTRES;;;;31786.0;K€;§5.1.2
2019;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Homme;6951.0;Nombre;§5.1.3 bis
2019;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2938.0;Nombre;§5.1.3 bis
2019;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Homme;4634.0;Nombre;§5.1.3 bis
2019;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1975.0;Nombre;§5.1.3 bis
2019;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;2745.0;Nombre;§5.1.3 bis
2019;EDF SA;France;Heures de formation;Exécution;;;412771.0;Heures;§5.1.4
2019;EDF SA;France;Heures de formation;;;Homme;2578676.0;Heures;§5.1.4
2019;EDF SA;France;Heures de formation;;D;Femme;106647.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;E;Homme;281936.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;F;Femme;91794.0;Heures;§5.1.4 bis
2019;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Femme;7.0;Nombre;§5.2.2
2019;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Femme;289.0;Nombre;§5.3.1
2019;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Homme;16619.0;Nombre;§5.1.3
2019;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Femme;6909.0;Nombre;§5.1.3
2019;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Femme;6832.0;Nombre;§5.1.3
2019;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Femme;441.0;Nombre;§5.1.3 bis
