Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;7798.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;5339.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Homme;5036.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Homme;0.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;8806.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Femme;1386.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3262.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;2765.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Femme;3608.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Homme;686.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3322.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;9833.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;3811.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3311.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;11534.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3804.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;7141.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;5262.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;3830.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3236.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;8976.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1302.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;12605.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;9599.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;1649.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3207.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1322.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1101.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1194.0;€;§2.1.2
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4378.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4135.0;€;§2.1.2.bis
2018;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;3239.0;€;§2.1.2.bis
